artist_name,e.country,e.country_3,num_exhibitions
Rudolf Dürrwang,DE,DEU,4
Rudolf Friedrich August Henneberg,AT,AUT,1
Rudolf Grossmann,AT,AUT,2
Rudolf Grossmann,DE,DEU,104
Rudolf Gudden,CH,CHE,1
Rudolf Gudden,DE,DEU,26
Rudolf Gönner,DE,DEU,8
Rudolf Hammer,DE,DEU,2
Rudolf Hause,DE,DEU,9
Rudolf Hellwag,CH,CHE,4
Rudolf Hellwag,DE,DEU,39
Rudolf Hellwag,GB,GBR,3
Rudolf Hellwag,IT,ITA,2
Rudolf Hellwag,US,USA,5
Rudolf Hesse,DE,DEU,4
Rudolf Hirth du Frênes,DE,DEU,2
Rudolf Huthsteiner,DE,DEU,6
Rudolf Ihlee,GB,GBR,51
Rudolf Jacob Zeller,DE,DEU,4
Rudolf Jettmar,AT,AUT,50
Rudolf Jettmar,CZ,CZE,6
Rudolf Jettmar,DE,DEU,22
Rudolf Jettmar,GB,GBR,1
Rudolf Junk,AT,AUT,45
Rudolf Junk,CZ,CZE,1
Rudolf Kalvach,AT,AUT,12
Rudolf Kohtz,DE,DEU,10
Rudolf Kohtz,IT,ITA,2
Rudolf Koller,DE,DEU,3
Rudolf Konopa,AT,AUT,118
Rudolf Konopa,DE,DEU,12
Rudolf Konopa,GB,GBR,2
Rudolf Konopa,IT,ITA,2
Rudolf Kriser,AT,AUT,8
Rudolf Kriser,HU,HUN,1
Rudolf Köselitz,DE,DEU,3
Rudolf Levy,AT,AUT,1
Rudolf Levy,DE,DEU,16
Rudolf Levy,FR,FRA,4
Rudolf Levy,NL,NLD,10
Rudolf Levy,US,USA,2
Rudolf Löw,CH,CHE,1
Rudolf Marschall,AT,AUT,5
Rudolf Mense,DE,DEU,4
Rudolf Möller,DE,DEU,9
Rudolf Mülli,DE,DEU,11
Rudolf Münger,DE,DEU,6
Rudolf Münger,FR,FRA,9
Rudolf Nissl,AT,AUT,41
Rudolf Nissl,DE,DEU,102
Rudolf Nissl,US,USA,4
Rudolf Otto,CZ,CZE,3
Rudolf Otto,DE,DEU,1
Rudolf Paul Hirschenhauser,AT,AUT,46
Rudolf Perco,AT,AUT,8
Rudolf Petuel,DE,DEU,2
Rudolf Petuel,IT,ITA,2
Rudolf Pleissner,DE,DEU,4
Rudolf Poeschmann,DE,DEU,7
Rudolf Possin,DE,DEU,3
Rudolf Possin,NL,NLD,2
Rudolf Prade,CZ,CZE,3
Rudolf Quittner,DE,DEU,7
Rudolf Quittner,GB,GBR,2
Rudolf Quittner,IT,ITA,4
Rudolf Reschreiter,DE,DEU,3
Rudolf Ribarz,AT,AUT,1
Rudolf Riemerschmid,DE,DEU,42
Rudolf Riemerschmid,IT,ITA,2
Rudolf Rochga,DE,DEU,4
Rudolf Schick,DE,DEU,40
Rudolf Schiestl,DE,DEU,1
Rudolf Schiestl,IT,ITA,4
Rudolf Schramm-Zittau,AT,AUT,50
Rudolf Schramm-Zittau,DE,DEU,208
Rudolf Schramm-Zittau,GB,GBR,3
Rudolf Schramm-Zittau,HU,HUN,4
Rudolf Schramm-Zittau,IT,ITA,18
Rudolf Schramm-Zittau,NL,NLD,1
Rudolf Schramm-Zittau,US,USA,7
Rudolf Schulte im Hofe,DE,DEU,3
Rudolf Schulte im Hofe,GB,GBR,1
Rudolf Schulte im Hofe,IT,ITA,2
Rudolf Schulte im Hofe,US,USA,1
Rudolf Seebold,DE,DEU,12
Rudolf Sieck,AT,AUT,108
Rudolf Sieck,CZ,CZE,2
Rudolf Sieck,DE,DEU,46
Rudolf Sieck,GB,GBR,2
Rudolf Siegmund,DE,DEU,14
Rudolf Stumpf,DE,DEU,2
Rudolf Swoboda,DE,DEU,3
Rudolf Tewes,DE,DEU,30
Rudolf Tewes,FR,FRA,6
Rudolf Tewes,GB,GBR,3
Rudolf Thienhaus,DE,DEU,3
Rudolf Thygesen,AT,AUT,2
Rudolf Thygesen,DE,DEU,2
Rudolf Treumann,DE,DEU,12
Rudolf Treuter,DE,DEU,1
Rudolf Vejrych,CZ,CZE,2
Rudolf Weber,DE,DEU,1
Rudolf Wilke,AT,AUT,20
Rudolf Wilke,DE,DEU,326
Rudolf Wilke,HU,HUN,4
Rudolf Wimmer,DE,DEU,6
Rudolf von Alt,AT,AUT,436
Rudolph Dirks,US,USA,4
Rudolph Gunther,GB,GBR,6
Rudolph Scheffler,DE,DEU,5
Ruggero Focardi,DE,DEU,3
Ruggero Focardi,IT,ITA,5
Rupert Bunny,FR,FRA,11
Rupert Bunny,GB,GBR,10
Rupert Bunny,HU,HUN,2
Rupert Bunny,NL,NLD,1
Rupert Bunny,US,USA,1
Rustom Siodia,GB,GBR,2
Ruth A. Hobson,GB,GBR,6
Ruth Collingridge,GB,GBR,2
Ruth Garnett,HU,HUN,2
Ruth Hawke,GB,GBR,8
Ruth Hollingsworth,GB,GBR,10
Ruth Latter,GB,GBR,14
Ruth Manson,GB,GBR,1
Ruth Selby-Bigge,GB,GBR,2
Ruth T. Doggett,GB,GBR,2
Ryūu Shimazaki,NL,NLD,1
Réné Revelard,BE,BEL,4
Róbert Berény,DE,DEU,5
Róbert Berény,FR,FRA,8
Róbert Berény,HU,HUN,68
Rüdiger Berlit,DE,DEU,7
S. A. Detinov,RU,RUS,1
S. A. Klyushnikov,RU,RUS,11
S. A. Klyushnikov,UA,UKR,8
S. A. Shheglov,RU,RUS,2
S. A. Yakovlev,RU,RUS,1
S. F. Sokolov,RU,RUS,1
S. Garstin Harvey,GB,GBR,4
S. H. Jephson,GB,GBR,2
S. I. Svetoslavskiy,RU,RUS,1
S. John Brontsen,IT,ITA,2
S. K. Raynova,RU,RUS,1
S. M. Kevorkova,RU,RUS,5
S. Manzana,DE,DEU,4
S. N. Nasedkin,RU,RUS,14
S. Noel Simmons,GB,GBR,15
S. Reddingius van Harlingen,NL,NLD,2
S. Rive,NL,NLD,1
S. S. Buturin,RU,RUS,1
S. V. Chorchop,RU,RUS,1
S. V. Dmitriev,RU,RUS,1
S. V. Dubrovsky,RU,RUS,2
S. V. Iwanow,RU,RUS,1
S. V. Krivoshein,RU,RUS,10
S. V. Starov,RU,RUS,4
S. V. Zapolski-Dovnar,RU,RUS,6
S. Volenkova,RU,RUS,2
S. W. Wheaton,GB,GBR,6
"S., de L'Aistre",FR,FRA,4
Sabina Caprioli,IT,ITA,1
Sabine Lepsius,DE,DEU,14
Sabine Licht,DE,DEU,12
Sabine Reicke,DE,DEU,2
Salomon Garf,HU,HUN,1
Salomon Garf,NL,NLD,22
Salomon Meijer,NL,NLD,22
Salvador Bartolozzi,DE,DEU,12
Salvador Bartolozzi,FR,FRA,16
Salvador Florensa Arnús,FR,FRA,2
Salvador Martínez Cubells,DE,DEU,6
Salvador Viniegra y Lasso de la Vega,DE,DEU,3
Salvatore Frangiamore,IT,ITA,3
Salvatore Marchesi,DE,DEU,3
Salvatore Marchesi,IT,ITA,13
Salvatore Postiglione,DE,DEU,3
Salvatore Postiglione,IT,ITA,5
Salvino Tofanari,IT,ITA,11
Sam Garratt,GB,GBR,12
Samu Börtsök,HU,HUN,14
Samu Popper,HU,HUN,3
Samuel A. Weiss,US,USA,1
Samuel Abramovitz,AT,AUT,4
Samuel Fridolin,DE,DEU,1
Samuel Fridolin,JP,JPN,1
Samuel Halpert,FR,FRA,17
Samuel Halpert,US,USA,8
Samuel Hirschenberg,AT,AUT,6
Samuel Horatio Moreton,GB,GBR,12
Samuel Jessurun de Mesquita,NL,NLD,5
Samuel John Lamorna Birch,BE,BEL,2
Samuel John Lamorna Birch,GB,GBR,22
Samuel John Lamorna Birch,IT,ITA,6
Samuel John Lamorna Birch,US,USA,2
Samuel John Peploe,GB,GBR,30
Samuel John Peploe,IT,ITA,6
Samuel John Peploe,NL,NLD,1
Samuel Johnson Woolf,US,USA,1
Samuel Joseph van Beek,NL,NLD,79
Samuel Melton Fisher,GB,GBR,6
Samuel Melton Fisher,IT,ITA,10
Samuel Prout,HU,HUN,2
Samuel Reid,GB,GBR,10
Samuel Schwarz,NL,NLD,2
Samuel Wood Gaylor,US,USA,4
Sandor Kubinyi,DE,DEU,3
Sandor Kubinyi,HU,HUN,2
Sandor Nyilasy,HU,HUN,25
Sandor Nyilasy,IT,ITA,28
Sandor Nyilasy,NL,NLD,1
Sandor Turmayer,HU,HUN,7
Sandor Ziffer,DE,DEU,4
Sandor Ziffer,HU,HUN,36
Santiago Rusiñol,BE,BEL,8
Santiago Rusiñol,FR,FRA,2
Santiago Rusiñol,GB,GBR,1
Santiago Rusiñol,IT,ITA,14
Santiago Rusiñol,NL,NLD,1
Sara Hense,NL,NLD,2
Sara Ledeboer,NL,NLD,14
Sara van Heukelom,NL,NLD,6
Sarah Hemphill-Vaughan,GB,GBR,10
Sarah Hurst Hancock,GB,GBR,6
Sarah Morris Greene,US,USA,5
Sascha Schneider,DE,DEU,4
Sascha Schneider,HU,HUN,2
Savely Abramovitch Sorin,LV,,3
Savely Abramovitch Sorin,RU,RUS,10
Savely Abramovitch Sorin,UA,UKR,6
Savely Shleyfer,LV,,4
Savely Shleyfer,RU,RUS,29
Savely Zeydenberg,IT,ITA,2
Savina Boniforti,IT,ITA,1
Savina Farello,IT,ITA,2
Sebastian Isepp,AT,AUT,96
Sebastian Isepp,HU,HUN,4
Sebastian Isepp,IT,ITA,1
Seika Yamada,NL,NLD,1
Seiki Nishimura,NL,NLD,1
Sella Hasse,DE,DEU,10
Semen Fedorovič Ščedrin,DE,DEU,2
Semen Frolov,RU,RUS,9
Serafino Macchiati,IT,ITA,7
Serafino Ramazzotti,IT,ITA,1
Serafino de Tivoli,IT,ITA,10
Serafín Avendaño,IT,ITA,1
Serge Youjanine,IT,ITA,1
Sergei Gerasimov,RU,RUS,7
Sergei Podgaevskii,RU,RUS,15
Sergej Ivanovič Petrov,RU,RUS,19
Sergej Michajlovič Romanovič,RU,RUS,15
Sergej Nikitič Južanin,IT,ITA,2
Sergej Semenovič Egornov,RU,RUS,22
Sergey Bajdin,RU,RUS,5
Sergey Beklemishev,RU,RUS,1
Sergey Chekhonin,RU,RUS,29
Sergey Gruzenberg,LV,,6
Sergey Gruzenberg,RU,RUS,24
Sergey Gruzenberg,UA,UKR,20
Sergey Ivanov,RU,RUS,4
Sergey Izvekov,RU,RUS,5
Sergey Kolesnikov,IT,ITA,2
Sergey Kolesnikov,RU,RUS,6
Sergey Korovin,RU,RUS,86
Sergey Lobanov,RU,RUS,21
Sergey Pomanski,RU,RUS,3
Sergey Storozhenko,RU,RUS,1
Sergey Sudyekin,AT,AUT,20
Sergey Sudyekin,DE,DEU,3
Sergey Sudyekin,FR,FRA,10
Sergey Sudyekin,RU,RUS,191
Sergey Vasil'yevich Malyutin,AT,AUT,16
Sergey Vasil'yevich Malyutin,DE,DEU,1
Sergey Vasil'yevich Malyutin,GB,GBR,2
Sergey Vasil'yevich Malyutin,LV,,2
Sergey Vasil'yevich Malyutin,RU,RUS,84
Sergey Vasil'yevich Malyutin,UA,UKR,10
Sergey Vinogradov,DE,DEU,1
Sergey Vinogradov,GB,GBR,1
Sergey Vinogradov,IT,ITA,4
Sergey Vinogradov,RU,RUS,32
Sergey Vinogradov,UA,UKR,3
Sergey Zaryenko,DE,DEU,1
Servais Detilleux,BE,BEL,1
Severin Grande,AT,AUT,12
Severin Grande,IT,ITA,4
Severyn Obst,GB,GBR,1
Sheelah Gunston,GB,GBR,10
Shiden Kozaka,NL,NLD,1
Shihō Sakakibara,NL,NLD,1
Shirley Slocombe,GB,GBR,6
Sholto Johnstone Douglas,GB,GBR,43
Shunnan Masudzu,NL,NLD,2
Shunryo Takayama,NL,NLD,2
Shyn-yo Hattori,NL,NLD,2
